Time,Hourofday,Plot,Light,C
0.4271,10.2504,Between,1678,N
0.4375,10.5,Between,1740,N
0.4479,10.7496,Between,1815,N
0.4583,10.9992,Between,1881,N
0.4688,11.2512,Between,1947,N
0.4792,11.5008,Between,2000,N
0.4896,11.7504,Between,2042,N
0.5,12,Between,2085,N
0.5104,12.2496,Between,2116,N
0.5208,12.4992,Between,2134,N
0.5313,12.7512,Between,2165,N
0.5417,13.0008,Between,2164,N
0.5521,13.2504,Between,2159,N
0.5625,13.5,Between,2130,N
0.5729,13.7496,Between,2122,N
0.5833,13.9992,Between,2105,N
0.5938,14.2512,Between,2056,N
0.6042,14.5008,Between,2022,N
0.6146,14.7504,Between,1962,N
0.625,15,Between,1897,N
0.6354,15.2496,Between,1849,N
0.6458,15.4992,Between,1748,N
0.6563,15.7512,Between,1685,N
0.6667,16.0008,Between,339,N
0.6771,16.2504,Between,178.6,N
0.6875,16.5,Between,190.2,N
0.6979,16.7496,Between,242.4,N
0.7083,16.9992,Between,309.5,N
0.7188,17.2512,Between,275.1,N
0.7292,17.5008,Between,248.6,N
0.7396,17.7504,Between,116.3,N
0.75,18,Between,116,N
0.7604,18.2496,Between,116,N
0.7708,18.4992,Between,150.6,N
0.7813,18.7512,Between,262.4,N
0.7917,19.0008,Between,101.8,N
0.8021,19.2504,Between,76.59,N
0.8125,19.5,Between,72.08,N
0.8229,19.7496,Between,59.78,N
0.8333,19.9992,Between,41.69,N
0.8438,20.2512,Between,15.06,N
0.8542,20.5008,Between,5.246,N
0.8646,20.7504,Between,1.009,N
0.875,21,Between,0.336,N
0.8854,21.2496,Between,0.269,N
0.8958,21.4992,Between,0.269,N
0.9063,21.7512,Between,0.269,N
0.9167,22.0008,Between,0.269,N
0.9271,22.2504,Between,0.269,N
0.9375,22.5,Between,0.269,N
0.9479,22.7496,Between,0.269,N
0.9583,22.9992,Between,0.269,N
0.9688,23.2512,Between,0.202,N
0.9792,23.5008,Between,0.202,N
0.9896,23.7504,Between,0.202,N
